Experiment	Date	Genotype	Sex	Muscle	File	Electrode Resistance (MOhm)	Input Resistance (MOhm)	observations	Calcium	Notebook	page	experiment
2	5/7/2010	A1	NA	NA	10507004	NA	NA	2	1	3-ring	1	minis3min
2	5/7/2010	A1	NA	NA	10507005	NA	NA	2	1	3-ring	1	EJPs
3	5/7/2010	A1	NA	A4L	10507008	13	10	2	1	3-ring	1	minis3min
3	5/7/2010	A1	NA	A4L	10507009	13	10	2	1	3-ring	1	EJPs
4	5/7/2010	A1	NA	A3R	10507012	11	9	3	1	3-ring	1	minis3min
4	5/7/2010	A1	NA	A3R	10507013	11	9	3	1	3-ring	1	EJPs
5	5/7/2010	A1	NA	A3L	10507014	11	9	3	1	3-ring	1	minis3min
5	5/7/2010	A1	NA	A3L	10507015	11	9	3	1	3-ring	1	EJPs
6	5/7/2010	A1	NA	A3R	10507016	11	6		1	3-ring	2	minis3min
6	5/7/2010	A1	NA	A3R	10507017	11	6		1	3-ring	2	EJPs
6	5/7/2010	A1	NA	A3R	10507018	11	6		1	3-ring	2	EJPs
7	5/7/2010	A1	NA	A3L	10507019	20	10	2	1	3-ring	2	minis3min
7	5/7/2010	A1	NA	A3L	10507020	20	10	2	1	3-ring	2	EJPs
10	5/10/2010	D42>LacZ	NA	A3L	10510001	11	9	2	1	3-ring	2	minis3min
10	5/10/2010	D42>LacZ	NA	A3L	10510002	11	9	2	1	3-ring	2	EJPs
11	5/10/2010	D42>LacZ	NA	A3R	10510004	13	7	2	1	3-ring	2	minis3min
11	5/10/2010	D42>LacZ	NA	A3R	10510005	13	7	2	1	3-ring	2	EJPs
12	5/10/2010	D42>TBPH-1.6	M	A3L	10510006	16	9		1	3-ring	3	minis3min
12	5/10/2010	D42>TBPH-1.6	M	A3L	10510007	16	9		1	3-ring	3	EJPs
30	5/12/2010	D42>hTDP-43	F	A3R	10512021	12	5		1	3-ring	6	minis3min
13	5/10/2010	D42>TBPH-1.6	M	A3R	10510008	17	6		1	3-ring	3	minis3min
13	5/10/2010	D42>TBPH-1.6	M	A3R	10510009	17	6		1	3-ring	3	EJPs
14	5/10/2010	D42>TBPH-1.8	F	A3L	10510010	16	8		1	3-ring	3	EJPs
14	5/10/2010	D42>TBPH-1.8	F	A3L	10510011	16	8		1	3-ring	3	EJPs
15	5/10/2010	D42>TBPH-1.8	F	A3R	10510012	18	3		1	3-ring	3	minis3min
15	5/10/2010	D42>TBPH-1.8	F	A3R	10510013	18	3		1	3-ring	3	EJPs
16	5/10/2010	D42>TBPH-1.2	F	A3L	10510014	19	7		1	3-ring	3	minis3min
16	5/10/2010	D42>TBPH-1.2	F	A3L	10510015	19	7		1	3-ring	3	EJPs
17	5/11/2010	D42>TBPH-CT	M	A3L	10511002	34	8		1	3-ring	4	minis3min
17	5/11/2010	D42>TBPH-CT	M	A3L	10511003	34	8		1	3-ring	4	EJPs
18	5/11/2010	D42>hTDP-43	F	A3L	10511004	38	2		1	3-ring	4	minis3min
18	5/11/2010	D42>hTDP-43	F	A3L	10511005	38	2		1	3-ring	4	EJPs
19	5/11/2010	D42>TBPH-CT	F	A3L	10511007	36	6		1	3-ring	4	minis3min
19	5/11/2010	D42>TBPH-CT	F	A3L	10511008	36	6		1	3-ring	4	EJPs
20	5/11/2010	D42>hTDP-43	F	A3L	10511009	37	2		1	3-ring	4	minis3min
20	5/11/2010	D42>hTDP-43	F	A3L	10511010	37	2		1	3-ring	4	EJPs
