File	traces	size_class	max_Vm	time_of_max_Vm	area	half-width	max_rise_slope	time_of_max_rise_slope	var_time_max_rise_slope	max_decay_slope	time_of_max_decay_slope	Baseline	successes	failures	stim_V	stim_duration_ms	n_stimulations	n_events
10507005	13..46	1	9.74	29.9	633	55.9	1.87	13.7	2.15	-0.42	58.4	NA	29	1	4	1	30	26
10507005	47..61	2	19.6	24.6	1053	41.5	4.03	13.4	0.05	-0.6	38.9	NA	15	0	5	1	15	15
10507009	1..38	1	22.4	25.7	1290	45.7	4.76	13.9	0.04	-0.6	39.9	NA	36	2	0.9	1	38	33
10507009	39..70	2	55.3	20.6	2775	37.3	19.3	13.6	0.01	-1.4	29.5	NA	32	0	1.3	1	32	32
10507013	1..31	3	49.3	20.1	2217	35.2	15.75	13.1	0.03	-1.8	26.1	NA	31	0	1.3	1	31	31
10507013	32..62	2	19.5	22	916	37.4	5.34	13.1	0.07	-0.6	37.2	NA	31	0	1.02	1	31	31
10507013	66..96	1	10.8	22.1	490	37	2.95	13.4	0.18	-0.97	32.1	NA	31	0	0.94	1	31	31
10507015	7..37	3	31.2	21.56	1286	30.2	9.23	14	0.06	-1.59	31.49	NA	29	0	4	1	31	31
10507015	58..88	2	22.9	21.8	904	29.4	5.86	14.1	0.1	-0.8	30.4	NA	29	0	3	1	31	19
10507015	45..55;89..104	1	9.52	22.5	407	31.1	2.29	13.4	0.51	-0.47	40.5	NA	27	0	2.6	1	27	12
10507020	46..76	1	20.8	21.1	789	30	6.15	13.4	0.05	-1.43	38.2	NA	31	0	1.1	1	31	31
10507020	3..33	2	39	20.5	1573	29.6	10.9	14.9	0.02	-1.3	27.6	-72	22	0	1.13	1	31	31
10510002	1..30	2	39	23.1	2010	36.3	8.51	13.8	0.14	-1.1	32.1	-82	30	0	0.9	1	30	30
10510002	34..65	1	15.5	25.1	774	35.6	2.83	14.4	0.71	-0.6	34.8	-78	31	0	0.5	1	32	28
10512003	1..30	2	36.3	20.4	1611	30.3	11.6	14.1	0.06	-1.3	29.8	-62	30	0	0.8	1	30	30
10512003	33..42	1	24.1	20.1	676	18	7.74	14.7	0.03	-1.41	26.6	-58.9	8	0	0.74	1	8	8
10512005	4..33	2	46.9	19.1	1657	24.1	17.8	13.5	0.02	-1.9	26.7	-75	30	0	0.7	1	30	30
10512005	56..77	1	5.91	24.3	193	25.8	1.7	14	2.3	-0.66	48.6	-73.7	19	3	0.6	1	22	5
10519001	1..30	2	42.4	21.7	2042	35.3	12.9	14.5	0.04	-1.14	2.9	-70.8	30	0	7	1	30	29
10519001	35..64	1	35.5	23.2	1702	35.6	10.2	15.4	0.43	-1	31.9	-69.7	29	1	5.8	1	30	29
10519003	1..32	2	39.8	18.2	810	13.7	20.5	14.6	0.04	-2.48	23	-77.5	29	0	0.5	1	32	29
10519003	36..65	1	22.4	19.7	454	14.3	8.55	14.9	0.03	-1.58	25.2	-78.6	30	0	0.36	1	30	29
10519005	39..68	1	13	22.3	430	24	3.82	14.9	0.9	-0.71	30.9	-64.2	19	11	0.55	1	30	14
10519005	1..30	2	34.8	19	1086	20.6	14.3	14.1	0.03	-2	24.1	-64	30	0	0.7	1	30	28
10519005	1..2	3	41.8	17.6	1402	19	20.9	13.65	0.02	-2.9	20.9	-64.5	2	0	0.7	1	2	2
10520001	1..30	2	17.6	18.3	408	14.6	6.56	13.7	0.01	-1.2	23.2	-54	30	0	5	1	30	30
10520001	40..69	1	3.06	2.86	92	23.2	0.61	21.3	2.76	-0.35	40.4	-55.9	28	2	3	1	30	27
10520003	1..30	2	61.7	17.5	2444	24.2	29.6	13.9	0.11	-5.5	19.5	-85	30	0	0.9	1	30	30
10520003	32..63	1	37.8	24.9	2081	41.4	8.84	14.7	0.02	-0.9	34.9	-85.7	29	3	0.5	1	32	22
10520006	1..39	2	45	18.6	1209	19.7	19.3	14.4	0.03	-1.8	23.4	-78	39	0	1.3	1	39	39
10520006	40..73	1	27.9	21.5	778	21.3	8.93	14.9	0.14	-1.28	28.6	-79.9	26	8	0.9	1	34	24
10520008	1..30	1	55	21.2	2779	35.9	17.3	14.7	0.02	-1.4	27.3	-86	30	0	3	1	30	30
10520010	1..30	3	49.1	16.8	1114	14.5	27.1	13.9	0.03	-4.32	18.75	-71	24	0	1.1	1	30	24
10520010	31..62	2	31.3	18.4	608	14.1	12.6	15	0.25	-1.9	23.8	-69	26	1	0.94	1	32	26
10520010	64..93	1	4.61	18.2	97	13.5	1.68	13.5	0.14	-0.4	23.8	-77.8	28	2	0.9	1	30	18
10521003	1..30	2	53	17.4	1708	20	21.1	14.2	0.12	-4.4	19.5	-70	30	0	0.62	1	30	25
10521003	31..63	1	38.1	19.8	1301	24.5	12.2	14.1	0.02	-1.41	25.9	-68.9	33	0	0.46	1	33	32
